rank,code,name,numerator_contribution_precise,numerator_contribution,cumulative_pct
1,2330,台積電,27302000000.0,27302000000.0,8.871178
2,2408,南亞科,19669482000.0,19669482000.0,15.26234
3,3661,世芯-KY,18812505000.0,18812505000.0,21.375045
4,2317,鴻海,14293764000.0,14293764000.0,26.019486
5,2327,國巨*,9674297500.0,9674297500.0,29.162935
6,3017,奇鋐,9377465000.0,9377465000.0,32.209933
7,3443,創意,8429720000.0,8429720000.0,34.948984
8,2454,聯發科,8098020000.0,8098020000.0,37.580255
9,3231,緯創,7527300000.0,7527300000.0,40.026084
10,2308,台達電,6749210000.0,6749210000.0,42.21909
11,6669,緯穎,6234750000.0,6234750000.0,44.244934
12,3653,健策,6151960000.0,6151960000.0,46.243877
13,2344,華邦電,6101429600.0,6101429600.0,48.226401
14,3450,聯鈞,5612100000.0,5612100000.0,50.049928
15,2382,廣達,5112618000.0,5112618000.0,51.711159
16,6442,光聖,5074032000.0,5074032000.0,53.359853
17,8996,高力,4688636000.0,4688636000.0,54.883322
18,3665,貿聯-KY,4552055000.0,4552055000.0,56.362411
19,2345,智邦,4312455000.0,4312455000.0,57.763647
20,6139,亞翔,4211016000.0,4211016000.0,59.131923
21,2449,京元電子,4145743000.0,4145743000.0,60.47899
22,3037,欣興,4141506000.0,4141506000.0,61.824681
23,2301,光寶科,4132863000.0,4132863000.0,63.167563
24,2603,長榮,4012646000.0,4012646000.0,64.471383
25,3706,神達,3986506800.0,3986506800.0,65.76671
26,00632R,元大台灣50反1,3931908480.00,3931908480.0,67.044296
27,6446,藥華藥,3490467000.0,3490467000.0,68.178446
28,2383,台光電,3429110000.0,3429110000.0,69.292659
29,6531,愛普*,3291435000.0,3291435000.0,70.362138
30,4722,國精化,3278336000.0,3278336000.0,71.42736
31,2368,金像電,3259861000.0,3259861000.0,72.48658
32,6191,精成科,3120875000.0,3120875000.0,73.500639
33,1504,東元,3117291000.0,3117291000.0,74.513533
34,8046,南電,3007641000.0,3007641000.0,75.490799
35,1519,華城,2956398000.0,2956398000.0,76.451415
36,6805,富世達,2928800000.0,2928800000.0,77.403064
37,8021,尖點,2897932000.0,2897932000.0,78.344682
38,3715,定穎投控,2858634000.0,2858634000.0,79.273532
39,1795,美時,2784141000.0,2784141000.0,80.178177
40,2371,大同,2724444300.00,2724444300.0,81.063424
41,00637L,元大滬深300正2,2670440220.00,2670440220.0,81.931124
42,5469,瀚宇博,2635165000.0,2635165000.0,82.787363
43,4763,材料*-KY,2532301200.0,2532301200.0,83.610178
44,6770,力積電,2507360700.00,2507360700.0,84.424889
45,6781,AES-KY,2483530000.0,2483530000.0,85.231857
46,6472,保瑞,2457522000.0,2457522000.0,86.030374
47,3035,智原,2421727500.0,2421727500.0,86.817261
48,2337,旺宏,2420406000.00,2420406000.0,87.603718
49,3563,牧德,2402563500.0,2402563500.0,88.384377
50,9958,世紀鋼,2368827500.0,2368827500.0,89.154075
